Word,Count
voice,11
volume,1
waiting,1
wanted,2
wasn't,1
way,2
ways,1
weather,1
week,2
weekend,1
weeks,1
well,5
weren't,1
when,16
whereas,3
while,1
whisper,1
white,1
why,1
wifi,1
within,2
without,2
won,1
work,5
worked,1
works,2
world,1
worldwide,1
worth,1
wouldn't,2
write,1
wrong,1
wrote,1
you'd,1
you're,3
youtube,1
ziggy,1
